experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test2_model_a_on_mutated_data,Model A,mutated_data,0.03,9012,0.6343,0.5709,0.9798,0.7214,38.537,0.6458,0,0.0,9012,4268,3208,88,1448
test2_model_a_on_mutated_data,Model A,mutated_data,0.04,9012,0.6454,0.5792,0.9736,0.7263,38.537,0.6458,0,0.0,9012,4241,3081,115,1575
test2_model_a_on_mutated_data,Model A,mutated_data,0.05,9012,0.6509,0.5838,0.9672,0.7281,38.537,0.6458,0,0.0,9012,4213,3003,143,1653
test2_model_a_on_mutated_data,Model A,mutated_data,0.06,9012,0.6566,0.5884,0.9637,0.7307,38.537,0.6458,0,0.0,9012,4198,2937,158,1719
test2_model_a_on_mutated_data,Model A,mutated_data,0.07,9012,0.6632,0.5936,0.9614,0.734,38.537,0.6458,0,0.0,9012,4188,2867,168,1789
test2_model_a_on_mutated_data,Model A,mutated_data,0.08,9012,0.6677,0.5973,0.9591,0.7361,38.537,0.6458,0,0.0,9012,4178,2817,178,1839
test2_model_a_on_mutated_data,Model A,mutated_data,0.09,9012,0.6698,0.5993,0.9562,0.7368,38.537,0.6458,0,0.0,9012,4165,2785,191,1871
test2_model_a_on_mutated_data,Model A,mutated_data,0.10,9012,0.6743,0.6032,0.9534,0.7389,38.537,0.6458,0,0.0,9012,4153,2732,203,1924
test2_model_a_on_mutated_data,Model A,mutated_data,0.11,9012,0.6761,0.6052,0.9493,0.7391,38.537,0.6458,0,0.0,9012,4135,2698,221,1958
test2_model_a_on_mutated_data,Model A,mutated_data,0.12,9012,0.6803,0.6087,0.9481,0.7414,38.537,0.6458,0,0.0,9012,4130,2655,226,2001
test2_model_a_on_mutated_data,Model A,mutated_data,0.13,9012,0.6833,0.6114,0.9465,0.7429,38.537,0.6458,0,0.0,9012,4123,2621,233,2035
test2_model_a_on_mutated_data,Model A,mutated_data,0.14,9012,0.6855,0.6135,0.944,0.7437,38.537,0.6458,0,0.0,9012,4112,2590,244,2066
test2_model_a_on_mutated_data,Model A,mutated_data,0.15,9012,0.6874,0.6153,0.9428,0.7446,38.537,0.6458,0,0.0,9012,4107,2568,249,2088
test2_model_a_on_mutated_data,Model A,mutated_data,0.16,9012,0.6896,0.6173,0.9419,0.7458,38.537,0.6458,0,0.0,9012,4103,2544,253,2112
test2_model_a_on_mutated_data,Model A,mutated_data,0.17,9012,0.6914,0.6192,0.9392,0.7463,38.537,0.6458,0,0.0,9012,4091,2516,265,2140
test2_model_a_on_mutated_data,Model A,mutated_data,0.18,9012,0.6943,0.6219,0.9373,0.7477,38.537,0.6458,0,0.0,9012,4083,2482,273,2174
test2_model_a_on_mutated_data,Model A,mutated_data,0.19,9012,0.6963,0.6239,0.936,0.7487,38.537,0.6458,0,0.0,9012,4077,2458,279,2198
test2_model_a_on_mutated_data,Model A,mutated_data,0.20,9012,0.6983,0.6259,0.9343,0.7496,38.537,0.6458,0,0.0,9012,4070,2433,286,2223
